Ano,Orgao,SiglaOrgao,NomeProjeto,Subtitulo,CodMunicipio,Valor,Complemento,Emenda,Deputado,Partido,Municipio_corrigido,Nome_deputado_padronizado
2022,Secretaria da Saúde,SES,Emenda Parlamentar 2022 de Sao Luiz Gonzaga,Ep 149 - Hospital Sao Luiz Gonzaga - Sao Luiz Gonzaga,,500000,Hospital beneficiado,149,Valdeci Oliveira,PT,Sao Luiz Gonzaga,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2022,Secretaria da Saúde,SES,Emenda Parlamentar 2022 de Uruguaiana,Ep 200 - Santa Casa - Uruguaiana,,500000,Hospital beneficiado,200,Frederico Antunes,PP,Uruguaiana,FREDERICO CANTORI ANTUNES
2022,Secretaria da Segurança Pública,SSP,Emenda Parlamentar 2022 de Porto Alegre,Ep 362 - Hbm - Porto Alegre,,500000,Município beneficiado,362,Ruy Irigaray,PSL,Porto Alegre,RUY IRIGARAY
2022,Secretaria da Segurança Pública,SSP,Emenda Parlamentar 2022 de Rio Pardo,Ep 56 - Bm - Rio Pardo,,500000,Município beneficiado,56,Clair Kuhn,MDB,Rio Pardo,CLAIR KUHN
2022,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,Emenda Parlamentar 2022 de Cangucu,Ep 161 - Pavimentacao Coxilha dos Campos - Cangucu,,500000,Município beneficiado,161,Pedro Pereira,PSDB,Cangucu,PEDRO OZORIO PEREIRA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Sao Borja,Ep 511 - Hospital Ivan Goulart - Sao Borja,,500000,Hospital beneficiado,511,Juliana Brizola,PDT,Sao Borja,JULIANA BRIZOLA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Sarandi,Ep 510 - Hospital Comunitario Sarandi - Sarandi,,500000,Hospital beneficiado,510,Juliana Brizola,PDT,Sarandi,JULIANA BRIZOLA
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,Emenda Parlamentar 2023 Em Definicao,Ep 40 - Federacao Estadual Apaes,,500000,Entidade beneficiada,40,Paparico Bacchi,PL,RS,EDERILDO PAPARICO BACCHI
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 77 - Hospital Universitario Urcamp - Bage,8,500000,beneficiado,77,Luiz Fernando Mainardi,PT,Bage,LUIZ FERNANDO MAINARDI
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 78 - Santa Casa - Bage,8,500000,beneficiado,78,Luiz Fernando Mainardi,PT,Bage,LUIZ FERNANDO MAINARDI
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 40 - Hospital Casa de Saude - Santa Maria,109,500000,beneficiado,40,Valdeci Oliveira,PT,Santa Maria,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 887 - Hospital Dr Oswaldo Diesel - Tres Coroas,146,500000,beneficiado,887,Joel Wilhelm,PP,Tres Coroas,JOEL LEANDRO WILHELM
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1148 - Atencao Basica - Serafina Correa,135,500000,beneficiado,1148,Vilmar Zanchin,MDB,Serafina Correa,VILMAR PERIN ZANCHIN
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 468 - Atencao Basica - Pelotas,93,500000,beneficiado,468,Pedro Pereira,PSDB,Pelotas,PEDRO OZORIO PEREIRA
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 252 - Fms - Associacao Hospitalar Vila Nova - Porto Alegre,96,500000,beneficiado,252,Kaká D´Ávila,PSDB,Porto Alegre,CARLOS HENRIQUE BASTOS D AVILA
2025,Secretaria de Desenvolvimento Rural,SDR,Apoio À Agroindústria Familiar - Ep,Ep 706 - Agroindustria Familiar - Hulha Negra,360,500000,beneficiado,706,Adão Pretto Filho,PT,Hulha Negra,ADAO PRETTO FILHO
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 28 - Hospital Dr Oswaldo Diesel - Tres Coroas,146,500000,beneficiado,28,Joel Wilhelm,PP,Tres Coroas,JOEL LEANDRO WILHELM
2025,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 393 - Atencao Basica - Serafina Correa,135,500000,beneficiado,393,Vilmar Zanchin,MDB,Serafina Correa,VILMAR PERIN ZANCHIN
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 63 - Fms - Hospital Sao Sebastiao Martir - Venancio Aires,155,500000,beneficiado,63,Airton Artus,PDT,Venancio Aires,AIRTON ARTUS
2025,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 503 - Atencao Basica - Alvorada,165,500000,beneficiado,503,Rodrigo Lorenzoni,PL,Alvorada,RODRIGO MARQUES LORENZONI
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 963 - Fms - Hospital Sao Lucas da Pucrs - Porto Alegre,96,500000,beneficiado,963,Eliana Bayer,REPUBLICANOS,Porto Alegre,ELIANA DO NASCIMENTO NARVAIS BAYER
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1125 - Hospital Alvorada - Alvorada,165,500000,beneficiado,1125,Stela Farias,PT,Alvorada,STELA BEATRIZ FARIAS LOPES
2023,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,Emenda Parlamentar 2023 de Porto Alegre,Ep 467 - Economia Solidaria - Avesol - Porto Alegre,,450000,Entidade beneficiada,467,Zé Nunes,PT,Porto Alegre,ZE NUNES
2024,Secretaria do Esporte e Lazer,SEL,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,Ep 975 - Clube Amigos do Rs - Porto Alegre,96,450000,beneficiado,975,Dr Thiago Duarte,UNIÃO,Porto Alegre,THIAGO PEREIRA DUARTE
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1032 - Fms - Upas - Novo Hamburgo,86,450000,beneficiado,1032,Issur Koch,PP,Novo Hamburgo,ISSUR KOCH
2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 961 - Apoio Gestao Municipal - Campo Novo,20,450000,beneficiado,961,Eliana Bayer,REPUBLICANOS,Campo Novo,ELIANA DO NASCIMENTO NARVAIS BAYER
2025,Secretaria da Segurança Pública,SSP,"Construção, Reformas e Aparelhamento da Polícia Civil - Ep",Ep 34 - Pc - Taquara,141,430000,beneficiado,34,Joel Wilhelm,PP,Taquara,JOEL LEANDRO WILHELM
2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 1047 - Apoio Gestao Municipal - Novo Hamburgo,86,425000,beneficiado,1047,Issur Koch,PP,Novo Hamburgo,ISSUR KOCH
2025,Governo do Estado,GE,Atuação da Defesa Civil Estadual - Ep,Ep 316 - Defesa Civil - Iph - Ufrgs,96,420100,beneficiado,316,Matheus Gomes,PSOL,Porto Alegre,MATHEUS PEREIRA GOMES
2022,Fundação Estadual de Planejamento Metropolitano e Regional,METROPLAN,Emenda Parlamentar 2022 de Dom Pedrito,Ep 261 - Infraestrutura Urbana - Dom Pedrito,,400000,Município beneficiado,261,Luís Augusto Lara,PTB,Dom Pedrito,LUIS AUGUSTO LARA
2022,"Secretaria de Trabalho, Emprego e Renda",STER,Emenda Parlamentar 2022 de Porto Alegre,Ep 454 - Economia Solidaria - Avesol - Porto Alegre,,400000,Entidade beneficiada,454,Zé Nunes,PT,Porto Alegre,ZE NUNES
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Sao Francisco de Paula,Ep 59 - Hospital Sao Francisco de Paula - Sao Francisco de Paula,,400000,Hospital beneficiado,59,Dalciso Oliveira,PSB,Sao Francisco de Paula,DALCISO OLIVEIRA
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Sapucaia do Sul,Ep 7 - Nucleos de Esporte e Lazer - Sapucaia do Sul,,400000,Município beneficiado,7,Vilmar Lourenço,PP,Sapucaia do Sul,VILMAR LOURENCO
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1048 - Hospital Universitario Urcamp - Bage,8,400000,beneficiado,1048,Adriana Lara,PL,Bage,ADRIANA VIEIRA LARA
2024,Secretaria da Cultura,SEDAC,Ações de Apoio Cultural - Ep,Ep 1205 - Associacao das Escolas de Samba do Primeiro Grupo - Uruguaiana,153,400000,beneficiado,1205,Frederico Antunes,PP,Uruguaiana,FREDERICO CANTORI ANTUNES
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 935 - Santa Casa - Uruguaiana,153,400000,beneficiado,935,Frederico Antunes,PP,Uruguaiana,FREDERICO CANTORI ANTUNES
2024,Secretaria de Desenvolvimento Social,SEDES,Gestão da Política de Seguranca Alimentar e Nutricional Sustentável - Ep,Ep 167 - Mitra Arquidiocesana de Pelotas - Pelotas,93,400000,beneficiado,167,Adão Pretto Filho,PT,Pelotas,ADAO PRETTO FILHO
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 831 - Hospital Regional do Vale do Rio Pardo - Rio Pardo,101,400000,beneficiado,831,Edivilson Brum,MDB,Rio Pardo,EDIVILSON MEURER BRUM
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 407 - Atencao Basica - Viamao,159,400000,beneficiado,407,Professor Bonatto,PSDB,Viamao,VALDIR BONATTO
2025,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 78 - Atencao Basica - Cruz Alta,34,400000,beneficiado,78,Rafael Braga,MDB,Cruz Alta,RAFAEL BRAGA
2025,Secretaria da Cultura,SEDAC,Ações de Apoio Cultural - Ep,Ep 804 - Associacao das Escolas de Samba do Primeiro Grupo - Uruguaiana,153,400000,beneficiado,804,Frederico Antunes,PP,Uruguaiana,FREDERICO CANTORI ANTUNES
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 995 - Hospital Santo Angelo - Santo Angelo,113,400000,beneficiado,995,Eduardo Loureiro,PDT,Santo Angelo,EDUARDO DEBACCO LOUREIRO
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 279 - Fms - Hospital Centenario - Sao Leopoldo,124,400000,beneficiado,279,Miguel Rossetto,PT,Sao Leopoldo,MIGUEL SOLDATELLI ROSSETTO
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 280 - Fms - Hospital Sao Camilo - Esteio,43,400000,beneficiado,280,Miguel Rossetto,PT,Esteio,MIGUEL SOLDATELLI ROSSETTO
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1217 - Hospital Regional do Vale do Rio Pardo - Rio Pardo,101,400000,beneficiado,1217,Edivilson Brum,MDB,Rio Pardo,EDIVILSON MEURER BRUM
2025,Secretaria da Segurança Pública,SSP,"Construção, Reformas e Aparelhamento da Brigada Militar - Ep",Ep 342 - Bm - Sao Sepe,129,384370,beneficiado,342,Felipe Camozzato,NOVO,Sao Sepe,FELIPE ZORTEA CAMOZZATO
2025,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 449 - Transporte Sanitario Eletivo - Flores da Cunha,48,370000,beneficiado,449,Prof Claudio Branchieri,PODE,Flores da Cunha,CLAUDIO MAXIMILIANO BRANCHIERI
2022,Secretaria da Saúde,SES,Emenda Parlamentar 2022 de Sapucaia do Sul,Ep 9 - Hospital Municipal Getulio Vargas - Sapucaia do Sul,,350000,Hospital beneficiado,9,Vilmar Lourenço,PSL,Sapucaia do Sul,VILMAR LOURENCO
2022,Secretaria da Segurança Pública,SSP,Emenda Parlamentar 2022 de Porto Alegre,Ep 363 - Dame - Porto Alegre,,350000,Município beneficiado,363,Ruy Irigaray,PSL,Porto Alegre,RUY IRIGARAY
2025,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 909 - Atencao Basica - Sentinela do Sul,414,350000,beneficiado,909,Marcus Vinícius,PP,Sentinela do Sul,MARCUS VINICIUS VIEIRA DE ALMEIDA
2025,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,Desenvolvimento e Qualificação Profissional - Ep,Ep 1119 - Escola Jose Cesar de Mesquita - Porto Alegre,96,350000,beneficiado,1119,Stela Farias,PT,Porto Alegre,STELA BEATRIZ FARIAS LOPES
2025,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 412 - Atencao Basica - Soledade,137,350000,beneficiado,412,Dirceu Franciscon,UNIÃO,Soledade,DIRCEU FRANCISCON
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 639 - Transporte Sanitario Eletivo - Flores da Cunha,48,345952,beneficiado,639,Prof Claudio Branchieri,PODE,Flores da Cunha,CLAUDIO MAXIMILIANO BRANCHIERI
2025,Secretaria da Segurança Pública,SSP,"Construção, Reformas e Aparelhamento da Brigada Militar - Ep",Ep 32 - Bm - Parobe,241,330000,beneficiado,32,Joel Wilhelm,PP,Parobe,JOEL LEANDRO WILHELM
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1143 - Pronto Atendimento Cruzeiro do Sul - Porto Alegre,96,309000,beneficiado,1143,Bruna Rodrigues,PCdoB,Porto Alegre,BRUNA LIEGE DA SILVA RODRIGUES
2023,Fundação Estadual de Planejamento Metropolitano e Regional,METROPLAN,Emenda Parlamentar 2023 de Alegrete,Ep 275 - Pavimentacao Asfaltica - Alegrete,,300000,Município beneficiado,275,Eric Lins,PL,Alegrete,ERIC LINS
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Passo Fundo,Ep 487 - Hospital de Clinicas - Passo Fundo,,300000,Hospital beneficiado,487,Mateus Wesp,PSDB,Passo Fundo,MATEUS WESP
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Porto Alegre,Ep 478 - Hospital Materno Infantil Presidente Vargas - Porto Alegre,,300000,Hospital beneficiado,478,Luciana Genro,PSOL,Porto Alegre,LUCIANA KREBS GENRO
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,Emenda Parlamentar 2023 de Uruguaiana,Ep 262 - Casa de Acolhimento As Mulheres Vitimas de Violencia - Uruguaiana,,300000,Município beneficiado,262,Frederico Antunes,PP,Uruguaiana,FREDERICO CANTORI ANTUNES
2024,Secretaria da Saúde,SES,Qualificação da Rede de Atenção À Pessoa Com Deficiência - Tea e Pcd - Ep,Ep 39 - Rede de Atencao a Pessoa Com Deficiencia - Santa Maria,109,300000,beneficiado,39,Valdeci Oliveira,PT,Santa Maria,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,Ep 368 - Apae - Lagoa Vermelha,71,300000,beneficiado,368,Airton Lima,PODE,Lagoa Vermelha,AIRTON LIMA
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 532 - Transporte Sanitario Eletivo - Estacao,272,300000,beneficiado,532,Delegada Nadine,PSDB,Estacao,NADINE TAGLIARI FARIAS ANFLOR
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 291 - Atencao Basica - Nova Alvorada,292,300000,beneficiado,291,Dirceu Franciscon,UNIÃO,Nova Alvorada,DIRCEU FRANCISCON
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 384 - Fms - Hospital Santa Cruz - Santa Cruz do Sul,108,300000,beneficiado,384,Kelly Moraes,PL,Santa Cruz do Sul,KELLY MORAES
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 661 - Fms - Hospital Sao Sebastiao Martir - Venancio Aires,155,300000,beneficiado,661,Airton Artus,PDT,Venancio Aires,AIRTON ARTUS
2024,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,Ep 315 - Unisol - Porto Alegre,96,300000,beneficiado,315,Stela Farias,PT,Porto Alegre,STELA BEATRIZ FARIAS LOPES
2024,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,Ep 526 - Avesol - Porto Alegre,96,300000,beneficiado,526,Zé Nunes,PT,Porto Alegre,ZE NUNES
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 236 - Santa Casa - Bage,8,300000,beneficiado,236,Adriana Lara,PL,Bage,ADRIANA VIEIRA LARA
2025,Secretaria de Turismo,SETUR,Projetos de Infraestrutura e Inovação Em Turismo - Ep,Ep 923 - Infraestrutura Turistica - Tapes,140,300000,beneficiado,923,Marcus Vinícius,PP,Tapes,MARCUS VINICIUS VIEIRA DE ALMEIDA
2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 686 - Apoio Gestao Municipal - Caraa,434,300000,beneficiado,686,Sergio Peres,REPUBLICANOS,Caraa,SERGIO PERES ALOS
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 237 - Fms - Santa Casa - Pelotas,93,300000,beneficiado,237,Adriana Lara,PL,Pelotas,ADRIANA VIEIRA LARA
2025,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 346 - Atencao Basica - Eldorado do Sul,267,300000,beneficiado,346,Kaká D´Ávila,PSDB,Eldorado do Sul,CARLOS HENRIQUE BASTOS D AVILA
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1076 - Hospital Viamao - Viamao,159,300000,beneficiado,1076,Professor Bonatto,PSDB,Viamao,VALDIR BONATTO
2024,Secretaria do Esporte e Lazer,SEL,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 776 - Nucleos de Esporte e Lazer - Cruz Alta,34,275000,beneficiado,776,Rafael Braga,MDB,Cruz Alta,RAFAEL BRAGA
2022,Secretaria da Educação,SEDUC,Emenda Parlamentar 2022 de Canela,Ep 286 - Eeef Carlos Wortmann - Canela,,250000,Escola beneficiada,286,Pepe Vargas,PT,Canela,GILBERTO JOSE SPIER VARGAS
2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,Emenda Parlamentar 2022 de Porto Alegre,Ep 158 - Crm Vania Araujo Machado - Porto Alegre,,250000,Centro de atendimento apoiado,158,Luciana Genro,PSOL,Porto Alegre,LUCIANA KREBS GENRO
2023,Secretaria da Educação,SEDUC,Emenda Parlamentar 2023 de Alvorada,Ep 530 - Esc Est Ens Med Campos Verdes - Alvorada,,250000,Escola beneficiada,530,Stela Farias,PT,Alvorada,STELA BEATRIZ FARIAS LOPES
2023,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,Emenda Parlamentar 2023 de Porto Alegre,Ep 534 - Economia Solidaria - Unisol - Porto Alegre,,250000,Entidade beneficiada,534,Stela Farias,PT,Porto Alegre,STELA BEATRIZ FARIAS LOPES
2023,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,Emenda Parlamentar 2023 de Porto Alegre,Ep 563 - Economia Solidaria - Escola Mesquita - Porto Alegre,,250000,Entidade beneficiada,563,Stela Farias,PT,Porto Alegre,STELA BEATRIZ FARIAS LOPES
2024,Secretaria do Esporte e Lazer,SEL,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 534 - Nucleos de Esporte e Lazer - Getulio Vargas,54,250000,beneficiado,534,Delegada Nadine,PSDB,Getulio Vargas,NADINE TAGLIARI FARIAS ANFLOR
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1165 - Hospital Cristo Redentor - Marau,75,250000,beneficiado,1165,Vilmar Zanchin,MDB,Marau,VILMAR PERIN ZANCHIN
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 222 - Atencao Basica - Caxias do Sul,29,250000,beneficiado,222,Neri o Carteiro,PSDB,Caxias do Sul,NERI ANDRADE PEREIRA JUNIOR
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1150 - Atencao Basica - Guapore,59,250000,beneficiado,1150,Vilmar Zanchin,MDB,Guapore,VILMAR PERIN ZANCHIN
2024,Secretaria da Educação,SEDUC,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",Ep 318 - Esc Est Ed Bas Prof Gentil Viegas Cardoso - Alvorada,165,250000,beneficiado,318,Stela Farias,PT,Alvorada,STELA BEATRIZ FARIAS LOPES
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 902 - Atencao Basica - Gravatai,57,250000,beneficiado,902,Felipe Camozzato,NOVO,Gravatai,FELIPE ZORTEA CAMOZZATO
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1185 - Casa dos Raros - Porto Alegre,96,250000,beneficiado,1185,Capitão Martim,REPUBLICANOS,Porto Alegre,MARTIM TODESCO ADREANI
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1188 - Fms - Santa Casa - Porto Alegre,96,250000,beneficiado,1188,Capitão Martim,REPUBLICANOS,Porto Alegre,MARTIM TODESCO ADREANI
2024,Secretaria do Esporte e Lazer,SEL,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 17 - Nucleos de Esporte e Lazer - Porto Alegre,96,250000,beneficiado,17,Delegado Zucco,REPUBLICANOS,Porto Alegre,RODRIGO LORENZINI ZUCCO
2025,Secretaria de Desenvolvimento Social,SEDES,Direitos Humanos da Pessoa Idosa - Ep,Ep 3 - Abrigo Espirita Oscar Jose Pithan - Santa Maria,109,250000,beneficiado,3,Valdeci Oliveira,PT,Santa Maria,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 445 - Hospital Nossa Senhora Aparecida - Camaqua,17,250000,beneficiado,445,Capitão Martim,REPUBLICANOS,Camaqua,MARTIM TODESCO ADREANI
