Ano,Municipio_corrigido,Orgao,NomeProjeto,Subtitulo,Valor,Deputado,Partido
2022,Uruguaiana,Secretaria da Saúde,Emenda Parlamentar 2022 de Uruguaiana,Ep 200 - Santa Casa - Uruguaiana,500000,Frederico Antunes,PP
2022,Porto Alegre,Secretaria da Segurança Pública,Emenda Parlamentar 2022 de Porto Alegre,Ep 362 - Hbm - Porto Alegre,500000,Ruy Irigaray,PSL
2022,Rio Pardo,Secretaria da Segurança Pública,Emenda Parlamentar 2022 de Rio Pardo,Ep 56 - Bm - Rio Pardo,500000,Clair Kuhn,MDB
2022,Cangucu,Secretaria de Desenvolvimento Urbano e Metropolitano,Emenda Parlamentar 2022 de Cangucu,Ep 161 - Pavimentacao Coxilha dos Campos - Cangucu,500000,Pedro Pereira,PSDB
2023,Sao Borja,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Borja,Ep 511 - Hospital Ivan Goulart - Sao Borja,500000,Juliana Brizola,PDT
2023,Sarandi,Secretaria da Saúde,Emenda Parlamentar 2023 de Sarandi,Ep 510 - Hospital Comunitario Sarandi - Sarandi,500000,Juliana Brizola,PDT
2023,RS,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 Em Definicao,Ep 40 - Federacao Estadual Apaes,500000,Paparico Bacchi,PL
2024,Bage,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 77 - Hospital Universitario Urcamp - Bage,500000,Luiz Fernando Mainardi,PT
2024,Bage,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 78 - Santa Casa - Bage,500000,Luiz Fernando Mainardi,PT
2024,Santa Maria,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 40 - Hospital Casa de Saude - Santa Maria,500000,Valdeci Oliveira,PT
2024,Tres Coroas,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 887 - Hospital Dr Oswaldo Diesel - Tres Coroas,500000,Joel Wilhelm,PP
2024,Serafina Correa,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1148 - Atencao Basica - Serafina Correa,500000,Vilmar Zanchin,MDB
2024,Pelotas,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 468 - Atencao Basica - Pelotas,500000,Pedro Pereira,PSDB
2024,Porto Alegre,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 252 - Fms - Associacao Hospitalar Vila Nova - Porto Alegre,500000,Kaká D´Ávila,PSDB
2025,Hulha Negra,Secretaria de Desenvolvimento Rural,Apoio À Agroindústria Familiar - Ep,Ep 706 - Agroindustria Familiar - Hulha Negra,500000,Adão Pretto Filho,PT
2025,Tres Coroas,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 28 - Hospital Dr Oswaldo Diesel - Tres Coroas,500000,Joel Wilhelm,PP
2025,Serafina Correa,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 393 - Atencao Basica - Serafina Correa,500000,Vilmar Zanchin,MDB
2025,Venancio Aires,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 63 - Fms - Hospital Sao Sebastiao Martir - Venancio Aires,500000,Airton Artus,PDT
2025,Alvorada,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 503 - Atencao Basica - Alvorada,500000,Rodrigo Lorenzoni,PL
2025,Porto Alegre,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 963 - Fms - Hospital Sao Lucas da Pucrs - Porto Alegre,500000,Eliana Bayer,REPUBLICANOS
2025,Alvorada,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1125 - Hospital Alvorada - Alvorada,500000,Stela Farias,PT
2023,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Emenda Parlamentar 2023 de Porto Alegre,Ep 467 - Economia Solidaria - Avesol - Porto Alegre,450000,Zé Nunes,PT
2024,Porto Alegre,Secretaria do Esporte e Lazer,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,Ep 975 - Clube Amigos do Rs - Porto Alegre,450000,Dr Thiago Duarte,UNIÃO
2025,Novo Hamburgo,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1032 - Fms - Upas - Novo Hamburgo,450000,Professor Issur Koch,PP
2025,Campo Novo,Secretaria de Desenvolvimento Urbano e Metropolitano,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 961 - Apoio Gestao Municipal - Campo Novo,450000,Eliana Bayer,REPUBLICANOS
2025,Taquara,Secretaria da Segurança Pública,"Construção, Reformas e Aparelhamento da Polícia Civil - Ep",Ep 34 - Pc - Taquara,430000,Joel Wilhelm,PP
2025,Novo Hamburgo,Secretaria de Desenvolvimento Urbano e Metropolitano,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 1047 - Apoio Gestao Municipal - Novo Hamburgo,425000,Professor Issur Koch,PP
2025,Porto Alegre,Governo do Estado,Atuação da Defesa Civil Estadual - Ep,Ep 316 - Defesa Civil - Iph - Ufrgs,420100,Matheus Gomes,PSOL
2022,Dom Pedrito,Fundação Estadual de Planejamento Metropolitano e Regional,Emenda Parlamentar 2022 de Dom Pedrito,Ep 261 - Infraestrutura Urbana - Dom Pedrito,400000,Luís Augusto Lara,PTB
2022,Porto Alegre,"Secretaria de Trabalho, Emprego e Renda",Emenda Parlamentar 2022 de Porto Alegre,Ep 454 - Economia Solidaria - Avesol - Porto Alegre,400000,Zé Nunes,PT
2023,Sao Francisco de Paula,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Francisco de Paula,Ep 59 - Hospital Sao Francisco de Paula - Sao Francisco de Paula,400000,Dalciso Oliveira,PSB
2023,Sapucaia do Sul,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Sapucaia do Sul,Ep 7 - Nucleos de Esporte e Lazer - Sapucaia do Sul,400000,Vilmar Lourenço,PP
2024,Bage,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1048 - Hospital Universitario Urcamp - Bage,400000,Adriana Lara,PL
2024,Uruguaiana,Secretaria da Cultura,Ações de Apoio Cultural - Ep,Ep 1205 - Associacao das Escolas de Samba do Primeiro Grupo - Uruguaiana,400000,Frederico Antunes,PP
2024,Uruguaiana,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 935 - Santa Casa - Uruguaiana,400000,Frederico Antunes,PP
2024,Pelotas,Secretaria de Desenvolvimento Social,Gestão da Política de Seguranca Alimentar e Nutricional Sustentável - Ep,Ep 167 - Mitra Arquidiocesana de Pelotas - Pelotas,400000,Adão Pretto Filho,PT
2024,Rio Pardo,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 831 - Hospital Regional do Vale do Rio Pardo - Rio Pardo,400000,Edivilson Brum,MDB
2024,Viamao,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 407 - Atencao Basica - Viamao,400000,Professor Bonatto,PSDB
2025,Cruz Alta,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 78 - Atencao Basica - Cruz Alta,400000,Rafael Braga,MDB
2025,Uruguaiana,Secretaria da Cultura,Ações de Apoio Cultural - Ep,Ep 804 - Associacao das Escolas de Samba do Primeiro Grupo - Uruguaiana,400000,Frederico Antunes,PP
2025,Santo Angelo,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 995 - Hospital Santo Angelo - Santo Angelo,400000,Eduardo Loureiro,PDT
2025,Sao Leopoldo,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 279 - Fms - Hospital Centenario - Sao Leopoldo,400000,Miguel Rossetto,PT
2025,Esteio,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 280 - Fms - Hospital Sao Camilo - Esteio,400000,Miguel Rossetto,PT
2025,Rio Pardo,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1217 - Hospital Regional do Vale do Rio Pardo - Rio Pardo,400000,Edivilson Brum,MDB
2025,Sao Sepe,Secretaria da Segurança Pública,"Construção, Reformas e Aparelhamento da Brigada Militar - Ep",Ep 342 - Bm - Sao Sepe,384370,Felipe Camozzato,NOVO
2025,Flores da Cunha,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 449 - Transporte Sanitario Eletivo - Flores da Cunha,370000,Prof Claudio Branchieri,PODE
2022,Sapucaia do Sul,Secretaria da Saúde,Emenda Parlamentar 2022 de Sapucaia do Sul,Ep 9 - Hospital Municipal Getulio Vargas - Sapucaia do Sul,350000,Vilmar Lourenço,PSL
2022,Porto Alegre,Secretaria da Segurança Pública,Emenda Parlamentar 2022 de Porto Alegre,Ep 363 - Dame - Porto Alegre,350000,Ruy Irigaray,PSL
2025,Sentinela do Sul,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 909 - Atencao Basica - Sentinela do Sul,350000,Marcus Vinícius,PP
2025,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Desenvolvimento e Qualificação Profissional - Ep,Ep 1119 - Escola Jose Cesar de Mesquita - Porto Alegre,350000,Stela Farias,PT
2025,Soledade,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 412 - Atencao Basica - Soledade,350000,Dirceu Franciscon,UNIÃO
2024,Flores da Cunha,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 639 - Transporte Sanitario Eletivo - Flores da Cunha,345952,Prof Claudio Branchieri,PODE
2025,Parobe,Secretaria da Segurança Pública,"Construção, Reformas e Aparelhamento da Brigada Militar - Ep",Ep 32 - Bm - Parobe,330000,Joel Wilhelm,PP
2024,Porto Alegre,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1143 - Pronto Atendimento Cruzeiro do Sul - Porto Alegre,309000,Bruna Rodrigues,PCdoB
2023,Alegrete,Fundação Estadual de Planejamento Metropolitano e Regional,Emenda Parlamentar 2023 de Alegrete,Ep 275 - Pavimentacao Asfaltica - Alegrete,300000,Eric Lins,PL
2023,Passo Fundo,Secretaria da Saúde,Emenda Parlamentar 2023 de Passo Fundo,Ep 487 - Hospital de Clinicas - Passo Fundo,300000,Mateus Wesp,PSDB
2023,Porto Alegre,Secretaria da Saúde,Emenda Parlamentar 2023 de Porto Alegre,Ep 478 - Hospital Materno Infantil Presidente Vargas - Porto Alegre,300000,Luciana Genro,PSOL
2023,Uruguaiana,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 de Uruguaiana,Ep 262 - Casa de Acolhimento As Mulheres Vitimas de Violencia - Uruguaiana,300000,Frederico Antunes,PP
2024,Santa Maria,Secretaria da Saúde,Qualificação da Rede de Atenção À Pessoa Com Deficiência - Tea e Pcd - Ep,Ep 39 - Rede de Atencao a Pessoa Com Deficiencia - Santa Maria,300000,Valdeci Oliveira,PT
2024,Lagoa Vermelha,"Secretaria de Justiça, Cidadania e Direitos Humanos",Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,Ep 368 - Apae - Lagoa Vermelha,300000,Airton Lima,PODE
2024,Estacao,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 532 - Transporte Sanitario Eletivo - Estacao,300000,Delegada Nadine,PSDB
2024,Nova Alvorada,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 291 - Atencao Basica - Nova Alvorada,300000,Dirceu Franciscon,UNIÃO
2024,Santa Cruz do Sul,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 384 - Fms - Hospital Santa Cruz - Santa Cruz do Sul,300000,Kelly Moraes,PL
2024,Venancio Aires,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 661 - Fms - Hospital Sao Sebastiao Martir - Venancio Aires,300000,Airton Artus,PDT
2024,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,Ep 315 - Unisol - Porto Alegre,300000,Stela Farias,PT
2024,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,Ep 526 - Avesol - Porto Alegre,300000,Zé Nunes,PT
2025,Bage,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 236 - Santa Casa - Bage,300000,Adriana Lara,PL
2025,Tapes,Secretaria de Turismo,Projetos de Infraestrutura e Inovação Em Turismo - Ep,Ep 923 - Infraestrutura Turistica - Tapes,300000,Marcus Vinícius,PP
2025,Caraa,Secretaria de Desenvolvimento Urbano e Metropolitano,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 686 - Apoio Gestao Municipal - Caraa,300000,Sergio Peres,REPUBLICANOS
2025,Pelotas,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 237 - Fms - Santa Casa - Pelotas,300000,Adriana Lara,PL
2025,Eldorado do Sul,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 346 - Atencao Basica - Eldorado do Sul,300000,Kaká D´Ávila,PSDB
2025,Viamao,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1076 - Hospital Viamao - Viamao,300000,Professor Bonatto,PSDB
2024,Cruz Alta,Secretaria do Esporte e Lazer,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 776 - Nucleos de Esporte e Lazer - Cruz Alta,275000,Rafael Braga,MDB
2022,Canela,Secretaria da Educação,Emenda Parlamentar 2022 de Canela,Ep 286 - Eeef Carlos Wortmann - Canela,250000,Pepe Vargas,PT
2022,Porto Alegre,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",Emenda Parlamentar 2022 de Porto Alegre,Ep 158 - Crm Vania Araujo Machado - Porto Alegre,250000,Luciana Genro,PSOL
2023,Alvorada,Secretaria da Educação,Emenda Parlamentar 2023 de Alvorada,Ep 530 - Esc Est Ens Med Campos Verdes - Alvorada,250000,Stela Farias,PT
2023,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Emenda Parlamentar 2023 de Porto Alegre,Ep 534 - Economia Solidaria - Unisol - Porto Alegre,250000,Stela Farias,PT
2023,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Emenda Parlamentar 2023 de Porto Alegre,Ep 563 - Economia Solidaria - Escola Mesquita - Porto Alegre,250000,Stela Farias,PT
2024,Getulio Vargas,Secretaria do Esporte e Lazer,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 534 - Nucleos de Esporte e Lazer - Getulio Vargas,250000,Delegada Nadine,PSDB
2024,Marau,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1165 - Hospital Cristo Redentor - Marau,250000,Vilmar Zanchin,MDB
2024,Caxias do Sul,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 222 - Atencao Basica - Caxias do Sul,250000,Neri o Carteiro,PSDB
2024,Guapore,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1150 - Atencao Basica - Guapore,250000,Vilmar Zanchin,MDB
2024,Alvorada,Secretaria da Educação,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",Ep 318 - Esc Est Ed Bas Prof Gentil Viegas Cardoso - Alvorada,250000,Stela Farias,PT
2024,Gravatai,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 902 - Atencao Basica - Gravatai,250000,Felipe Camozzato,NOVO
2024,Porto Alegre,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1185 - Casa dos Raros - Porto Alegre,250000,Capitão Martim,REPUBLICANOS
2024,Porto Alegre,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1188 - Fms - Santa Casa - Porto Alegre,250000,Capitão Martim,REPUBLICANOS
2024,Porto Alegre,Secretaria do Esporte e Lazer,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 17 - Nucleos de Esporte e Lazer - Porto Alegre,250000,Delegado Zucco,REPUBLICANOS
2025,Santa Maria,Secretaria de Desenvolvimento Social,Direitos Humanos da Pessoa Idosa - Ep,Ep 3 - Abrigo Espirita Oscar Jose Pithan - Santa Maria,250000,Valdeci Oliveira,PT
2025,Camaqua,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 445 - Hospital Nossa Senhora Aparecida - Camaqua,250000,Capitão Martim,REPUBLICANOS
2025,Farroupilha,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 428 - Fms - Hospital Sao Carlos - Farroupilha,250000,Capitão Martim,REPUBLICANOS
2025,Caxias do Sul,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 434 - Fms - Hospital Geral - Caxias do Sul,250000,Capitão Martim,REPUBLICANOS
2025,Bento Goncalves,Secretaria de Turismo,Projetos de Infraestrutura e Inovação Em Turismo - Ep,"Ep 1010 - Centro da Industria, Comercio e Servicos - Cic - Bento Goncalves",250000,Guilherme Pasin,PP
2025,Dois Irmaos,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 31 - Transporte Sanitario Eletivo - Dois Irmaos,250000,Joel Wilhelm,PP
2025,Porto Alegre,Secretaria de Sistemas Penal e Socioeducativo,Manutenção e Implantação de Casas Modelo Apac - Ep,Ep 246 - Associacao de Protecao e Assistencia Aos Condenados - Porto Alegre,250000,Jeferson Fernandes,PT
2025,Porto Alegre,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 348 - Fms - Associacao Hospitalar Vila Nova - Porto Alegre,250000,Kaká D´Ávila,PSDB
2025,Porto Alegre,Secretaria de Desenvolvimento Social,Equipamentos de Segurança Alimentar e Nutricional - Ep,Ep 1061 - Associacao de Mulheres Maria da Gloria - Porto Alegre,250000,Bruna Rodrigues,PCdoB
2025,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Desenvolvimento e Qualificação Profissional - Ep,Ep 359 - Centro de Educacao Profissional Sao Joao Calabria - Porto Alegre,250000,Kaká D´Ávila,PSDB
2025,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,Ep 189 - Associacao do Voluntariado e da Solidariedade - Avesol - Porto Alegre,250000,Zé Nunes,PT
2025,Cachoeira do Sul,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 437 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,250000,Capitão Martim,REPUBLICANOS
2022,Osorio,Secretaria da Saúde,Emenda Parlamentar 2022 de Osorio,Ep 157 - Hospital Sao Vicente de Paulo - Osorio,230000,Luciana Genro,PSOL
2022,Taquara,Secretaria da Saúde,Emenda Parlamentar 2022 de Taquara,Ep 157 - Hospital Bom Jesus - Taquara,230000,Luciana Genro,PSOL
2024,Soledade,Secretaria da Cultura,Ações de Apoio Cultural - Ep,Ep 295 - Ctg Trempe de Aco - Soledade,230000,Dirceu Franciscon,UNIÃO
2025,Porto Alegre,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 967 - Casa dos Raros - Porto Alegre,220580,Felipe Camozzato,NOVO
2022,Campo Bom,Secretaria da Saúde,Emenda Parlamentar 2022 de Campo Bom,Ep 186 - Hospital Dr Lauro Reus - Campo Bom,220000,Faisal Karam,PSDB
2022,Uruguaiana,Secretaria da Cultura,Emenda Parlamentar 2022 de Uruguaiana,Ep 198 - Eventos Culturais - Uruguaiana,200000,Frederico Antunes,PP
2022,Santa Rosa,Secretaria da Saúde,Emenda Parlamentar 2022 de Santa Rosa,Ep 251 - Atencao Basica - Santa Rosa,200000,Any Ortiz,CIDADANIA
2022,Cachoeira do Sul,Secretaria da Saúde,Emenda Parlamentar 2022 de Cachoeira do Sul,Ep 83 - Hospital de Caridade e Beneficencia - Cachoeira do Sul,200000,Airton Lima,PL
2022,Carazinho,Secretaria da Saúde,Emenda Parlamentar 2022 de Carazinho,Ep 113 - Hospital de Caridade - Carazinho,200000,Juliana Brizola,PDT
2022,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2022 de Pelotas,Ep 413 - Hospital Universitario Sao Francisco de Paula - Pelotas,200000,Fernando Marroni,PT
2022,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2022 de Pelotas,Ep 414 - Santa Casa de Misericordia - Pelotas,200000,Fernando Marroni,PT
2022,Porto Alegre,Secretaria da Saúde,Emenda Parlamentar 2022 de Porto Alegre,Ep 156 - Hospital de Pronto Socorro - Porto Alegre,200000,Luciana Genro,PSOL
2022,Rosario do Sul,Secretaria da Saúde,Emenda Parlamentar 2022 de Rosario do Sul,Ep 151 - Hospital de Caridade Nossa Senhora Auxiliadora - Rosario do Sul,200000,Valdeci Oliveira,PT
2022,Sao Borja,Secretaria da Saúde,Emenda Parlamentar 2022 de Sao Borja,Ep 112 - Hospital Ivan Goulart - Sao Borja,200000,Juliana Brizola,PDT
2022,Uruguaiana,Secretaria da Saúde,Emenda Parlamentar 2022 de Uruguaiana,Ep 139 - Santa Casa - Uruguaiana,200000,Eric Lins,DEM
2022,Jaquirana,Secretaria da Saúde,Emenda Parlamentar 2022 de Jaquirana,Ep 360 - Veiculo - Jaquirana,200000,Neri o Carteiro,SOLIDARIEDADE
2023,Alegrete,Secretaria da Saúde,Emenda Parlamentar 2023 de Alegrete,Ep 261 - Atencao Basica - Alegrete,200000,Frederico Antunes,PP
2023,Braga,Secretaria da Saúde,Emenda Parlamentar 2023 de Braga,Ep 317 - Atencao Basica - Braga,200000,Gilberto Capoani,MDB
2023,Espumoso,Secretaria da Saúde,Emenda Parlamentar 2023 de Espumoso,Ep 180 - Atencao Basica - Espumoso,200000,Eduardo Loureiro,PDT
2023,Girua,Secretaria da Saúde,Emenda Parlamentar 2023 de Girua,Ep 181 - Atencao Basica - Girua,200000,Eduardo Loureiro,PDT
2023,Nova Alvorada,Secretaria da Saúde,Emenda Parlamentar 2023 de Nova Alvorada,Ep 289 - Atencao Basica - Nova Alvorada,200000,Dirceu Franciscon,UNIÃO
2023,Vacaria,Secretaria da Saúde,Emenda Parlamentar 2023 de Vacaria,Ep 535 - Atencao Basica - Vacaria,200000,Pedro Pereira,PSDB
2023,Cachoeira do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Cachoeira do Sul,Ep 502 - Hospital de Caridade e Beneficencia - Cachoeira do Sul,200000,Zilá Breitenbach,PSDB
2023,Caxias do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Caxias do Sul,Ep 410 - Hospital Geral - Caxias do Sul,200000,Pepe Vargas,PT
2023,Porto Alegre,Secretaria da Saúde,Emenda Parlamentar 2023 de Porto Alegre,Ep 479 - Unidade de Pronto Atendimento Bom Jesus - Upa - Porto Alegre,200000,Luciana Genro,PSOL
2023,Santa Maria,Secretaria da Saúde,Emenda Parlamentar 2023 de Santa Maria,Ep 144 - Hospital Casa de Saude - Santa Maria,200000,Valdeci Oliveira,PT
2023,Sertao,Secretaria da Saúde,Emenda Parlamentar 2023 de Sertao,Ep 312 - Hospital Sao Jose - Sertao,200000,Gilberto Capoani,MDB
2023,Bento Goncalves,Secretaria da Saúde,Emenda Parlamentar 2023 de Bento Goncalves,Ep 80 - Transporte Sanitario Eletivo - Bento Goncalves,200000,Franciane Bayer,REPUBLICANOS
