Ano,Orgao,SiglaOrgao,CodUo,CodProjeto,NomeProjeto,CodSubtitulo,Subtitulo,SubtituloResumido,Municipio,CodMunicipio,Valor,Complemento,Emenda,Deputado,Partido
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24158,Ep 887 - Hospital Dr Oswaldo Diesel - Tres Coroas,EP 887,Tres Coroas,146,500000,beneficiado,887,Joel Wilhelm,PP
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24217,Ep 1148 - Atencao Basica - Serafina Correa,EP 1148,Serafina Correa,135,500000,beneficiado,1148,Vilmar Zanchin,MDB
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24090,Ep 468 - Atencao Basica - Pelotas,EP 468,Pelotas,93,500000,beneficiado,468,Pedro Pereira,PSDB
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24045,Ep 252 - Fms - Associacao Hospitalar Vila Nova - Porto Alegre,EP 252,Porto Alegre,96,500000,beneficiado,252,Kaká D´Ávila,PSDB
2025,Secretaria de Desenvolvimento Rural,SDR,76,1060,Apoio À Agroindústria Familiar - Ep,25001,Ep 706 - Agroindustria Familiar - Hulha Negra,EP 706,Hulha Negra,360,500000,beneficiado,706,Adão Pretto Filho,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25001,Ep 28 - Hospital Dr Oswaldo Diesel - Tres Coroas,EP 28,Tres Coroas,146,500000,beneficiado,28,Joel Wilhelm,PP
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25086,Ep 393 - Atencao Basica - Serafina Correa,EP 393,Serafina Correa,135,500000,beneficiado,393,Vilmar Zanchin,MDB
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25007,Ep 63 - Fms - Hospital Sao Sebastiao Martir - Venancio Aires,EP 63,Venancio Aires,155,500000,beneficiado,63,Airton Artus,PDT
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25101,Ep 503 - Atencao Basica - Alvorada,EP 503,Alvorada,165,500000,beneficiado,503,Rodrigo Lorenzoni,PL
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25142,Ep 963 - Fms - Hospital Sao Lucas da Pucrs - Porto Alegre,EP 963,Porto Alegre,96,500000,beneficiado,963,Eliana Bayer,REPUBLICANOS
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25163,Ep 1125 - Hospital Alvorada - Alvorada,EP 1125,Alvorada,165,500000,beneficiado,1125,Stela Farias,PT
2023,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,3201,1079,Emenda Parlamentar 2023 de Porto Alegre,23003,Ep 467 - Economia Solidaria - Avesol - Porto Alegre,,,,450000,Entidade beneficiada,467,Zé Nunes,PT
2024,Secretaria do Esporte e Lazer,SEL,1,1049,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,24018,Ep 975 - Clube Amigos do Rs - Porto Alegre,EP 975,Porto Alegre,96,450000,beneficiado,975,Dr Thiago Duarte,UNIÃO
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25150,Ep 1032 - Fms - Upas - Novo Hamburgo,EP 1032,Novo Hamburgo,86,450000,beneficiado,1032,Professor Issur Koch,PP
2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,1,1038,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,25032,Ep 961 - Apoio Gestao Municipal - Campo Novo,EP 961,Campo Novo,20,450000,beneficiado,961,Eliana Bayer,REPUBLICANOS
2025,Secretaria da Segurança Pública,SSP,4,1011,"Construção, Reformas e Aparelhamento da Polícia Civil - Ep",25001,Ep 34 - Pc - Taquara,EP 34,Taquara,141,430000,beneficiado,34,Joel Wilhelm,PP
2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,1,1038,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,25034,Ep 1047 - Apoio Gestao Municipal - Novo Hamburgo,EP 1047,Novo Hamburgo,86,425000,beneficiado,1047,Professor Issur Koch,PP
2025,Governo do Estado,GE,40,1108,Atuação da Defesa Civil Estadual - Ep,25002,Ep 316 - Defesa Civil - Iph - Ufrgs,EP 316,Porto Alegre,96,420100,beneficiado,316,Matheus Gomes,PSOL
2022,Fundação Estadual de Planejamento Metropolitano e Regional,METROPLAN,6401,1055,Emenda Parlamentar 2022 de Dom Pedrito,22001,Ep 261 - Infraestrutura Urbana - Dom Pedrito,EP 261,,,400000,Município beneficiado,261,Luís Augusto Lara,PTB
2022,"Secretaria de Trabalho, Emprego e Renda",STER,3201,1079,Emenda Parlamentar 2022 de Porto Alegre,22002,Ep 454 - Economia Solidaria - Avesol - Porto Alegre,EP 454,,,400000,Entidade beneficiada,454,Zé Nunes,PT
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Sao Francisco de Paula,23003,Ep 59 - Hospital Sao Francisco de Paula - Sao Francisco de Paula,,,,400000,Hospital beneficiado,59,Dalciso Oliveira,PSB
2023,Secretaria do Esporte e Lazer,SEL,2901,1050,Emenda Parlamentar 2023 de Sapucaia do Sul,23001,Ep 7 - Nucleos de Esporte e Lazer - Sapucaia do Sul,,,,400000,Município beneficiado,7,Vilmar Lourenço,PP
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24192,Ep 1048 - Hospital Universitario Urcamp - Bage,EP 1048,Bage,8,400000,beneficiado,1048,Adriana Lara,PL
2024,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,24067,Ep 1205 - Associacao das Escolas de Samba do Primeiro Grupo - Uruguaiana,EP 1205,Uruguaiana,153,400000,beneficiado,1205,Frederico Antunes,PP
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24168,Ep 935 - Santa Casa - Uruguaiana,EP 935,Uruguaiana,153,400000,beneficiado,935,Frederico Antunes,PP
2024,Secretaria de Desenvolvimento Social,SEDES,1,1086,Gestão da Política de Seguranca Alimentar e Nutricional Sustentável - Ep,24012,Ep 167 - Mitra Arquidiocesana de Pelotas - Pelotas,EP 167,Pelotas,93,400000,beneficiado,167,Adão Pretto Filho,PT
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24157,Ep 831 - Hospital Regional do Vale do Rio Pardo - Rio Pardo,EP 831,Rio Pardo,101,400000,beneficiado,831,Edivilson Brum,MDB
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24079,Ep 407 - Atencao Basica - Viamao,EP 407,Viamao,159,400000,beneficiado,407,Professor Bonatto,PSDB
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25019,Ep 78 - Atencao Basica - Cruz Alta,EP 78,Cruz Alta,34,400000,beneficiado,78,Rafael Braga,MDB
2025,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,25068,Ep 804 - Associacao das Escolas de Samba do Primeiro Grupo - Uruguaiana,EP 804,Uruguaiana,153,400000,beneficiado,804,Frederico Antunes,PP
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25148,Ep 995 - Hospital Santo Angelo - Santo Angelo,EP 995,Santo Angelo,113,400000,beneficiado,995,Eduardo Loureiro,PDT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25048,Ep 279 - Fms - Hospital Centenario - Sao Leopoldo,EP 279,Sao Leopoldo,124,400000,beneficiado,279,Miguel Rossetto,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25049,Ep 280 - Fms - Hospital Sao Camilo - Esteio,EP 280,Esteio,43,400000,beneficiado,280,Miguel Rossetto,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25171,Ep 1217 - Hospital Regional do Vale do Rio Pardo - Rio Pardo,EP 1217,Rio Pardo,101,400000,beneficiado,1217,Edivilson Brum,MDB
2025,Secretaria da Segurança Pública,SSP,3,1010,"Construção, Reformas e Aparelhamento da Brigada Militar - Ep",25003,Ep 342 - Bm - Sao Sepe,EP 342,Sao Sepe,129,384370,beneficiado,342,Felipe Camozzato,NOVO
2025,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,25012,Ep 449 - Transporte Sanitario Eletivo - Flores da Cunha,EP 449,Flores da Cunha,48,370000,beneficiado,449,Prof Claudio Branchieri,PODE
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Sapucaia do Sul,22006,Ep 9 - Hospital Municipal Getulio Vargas - Sapucaia do Sul,EP 9,,,350000,Hospital beneficiado,9,Vilmar Lourenço,PSL
2022,Secretaria da Segurança Pública,SSP,1204,1011,Emenda Parlamentar 2022 de Porto Alegre,22005,Ep 363 - Dame - Porto Alegre,EP 363,,,350000,Município beneficiado,363,Ruy Irigaray,PSL
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25171,Ep 909 - Atencao Basica - Sentinela do Sul,EP 909,Sentinela do Sul,414,350000,beneficiado,909,Marcus Vinícius,PP
2025,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,1,1077,Desenvolvimento e Qualificação Profissional - Ep,25004,Ep 1119 - Escola Jose Cesar de Mesquita - Porto Alegre,EP 1119,Porto Alegre,96,350000,beneficiado,1119,Stela Farias,PT
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25092,Ep 412 - Atencao Basica - Soledade,EP 412,Soledade,137,350000,beneficiado,412,Dirceu Franciscon,UNIÃO
2024,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,24020,Ep 639 - Transporte Sanitario Eletivo - Flores da Cunha,EP 639,Flores da Cunha,48,345952,beneficiado,639,Prof Claudio Branchieri,PODE
2025,Secretaria da Segurança Pública,SSP,3,1010,"Construção, Reformas e Aparelhamento da Brigada Militar - Ep",25001,Ep 32 - Bm - Parobe,EP 32,Parobe,241,330000,beneficiado,32,Joel Wilhelm,PP
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24197,Ep 1143 - Pronto Atendimento Cruzeiro do Sul - Porto Alegre,EP 1143,Porto Alegre,96,309000,beneficiado,1143,Bruna Rodrigues,PCdoB
2023,Fundação Estadual de Planejamento Metropolitano e Regional,METROPLAN,6401,1055,Emenda Parlamentar 2023 de Alegrete,23001,Ep 275 - Pavimentacao Asfaltica - Alegrete,,,,300000,Município beneficiado,275,Eric Lins,PL
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Passo Fundo,23085,Ep 487 - Hospital de Clinicas - Passo Fundo,,,,300000,Hospital beneficiado,487,Mateus Wesp,PSDB
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Porto Alegre,23081,Ep 478 - Hospital Materno Infantil Presidente Vargas - Porto Alegre,,,,300000,Hospital beneficiado,478,Luciana Genro,PSOL
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,2801,1047,Emenda Parlamentar 2023 de Uruguaiana,23001,Ep 262 - Casa de Acolhimento As Mulheres Vitimas de Violencia - Uruguaiana,,,,300000,Município beneficiado,262,Frederico Antunes,PP
2024,Secretaria da Saúde,SES,95,1104,Qualificação da Rede de Atenção À Pessoa Com Deficiência - Tea e Pcd - Ep,24001,Ep 39 - Rede de Atencao a Pessoa Com Deficiencia - Santa Maria,EP 39,Santa Maria,109,300000,beneficiado,39,Valdeci Oliveira,PT
2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,75,1039,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,24027,Ep 368 - Apae - Lagoa Vermelha,EP 368,Lagoa Vermelha,71,300000,beneficiado,368,Airton Lima,PODE
2024,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,24015,Ep 532 - Transporte Sanitario Eletivo - Estacao,EP 532,Estacao,272,300000,beneficiado,532,Delegada Nadine,PSDB
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24053,Ep 291 - Atencao Basica - Nova Alvorada,EP 291,Nova Alvorada,292,300000,beneficiado,291,Dirceu Franciscon,UNIÃO
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24074,Ep 384 - Fms - Hospital Santa Cruz - Santa Cruz do Sul,EP 384,Santa Cruz do Sul,108,300000,beneficiado,384,Kelly Moraes,PL
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24132,Ep 661 - Fms - Hospital Sao Sebastiao Martir - Venancio Aires,EP 661,Venancio Aires,155,300000,beneficiado,661,Airton Artus,PDT
2024,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,1,1079,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,24003,Ep 315 - Unisol - Porto Alegre,EP 315,Porto Alegre,96,300000,beneficiado,315,Stela Farias,PT
2024,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,1,1079,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,24004,Ep 526 - Avesol - Porto Alegre,EP 526,Porto Alegre,96,300000,beneficiado,526,Zé Nunes,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25036,Ep 236 - Santa Casa - Bage,EP 236,Bage,8,300000,beneficiado,236,Adriana Lara,PL
2025,Secretaria de Turismo,SETUR,1,1068,Projetos de Infraestrutura e Inovação Em Turismo - Ep,25001,Ep 923 - Infraestrutura Turistica - Tapes,EP 923,Tapes,140,300000,beneficiado,923,Marcus Vinícius,PP
2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,1,1038,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,25022,Ep 686 - Apoio Gestao Municipal - Caraa,EP 686,Caraa,434,300000,beneficiado,686,Sergio Peres,REPUBLICANOS
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25037,Ep 237 - Fms - Santa Casa - Pelotas,EP 237,Pelotas,93,300000,beneficiado,237,Adriana Lara,PL
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25072,Ep 346 - Atencao Basica - Eldorado do Sul,EP 346,Eldorado do Sul,267,300000,beneficiado,346,Kaká D´Ávila,PSDB
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25154,Ep 1076 - Hospital Viamao - Viamao,EP 1076,Viamao,159,300000,beneficiado,1076,Professor Bonatto,PSDB
2024,Secretaria do Esporte e Lazer,SEL,1,1050,Implantação de Núcleos de Esporte e Lazer - Ep,24035,Ep 776 - Nucleos de Esporte e Lazer - Cruz Alta,EP 776,Cruz Alta,34,275000,beneficiado,776,Rafael Braga,MDB
2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Canela,22004,Ep 286 - Eeef Carlos Wortmann - Canela,EP 286,,,250000,Escola beneficiada,286,Pepe Vargas,PT
2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2101,1047,Emenda Parlamentar 2022 de Porto Alegre,22001,Ep 158 - Crm Vania Araujo Machado - Porto Alegre,EP 158,,,250000,Centro de atendimento apoiado,158,Luciana Genro,PSOL
2023,Secretaria da Educação,SEDUC,1901,1088,Emenda Parlamentar 2023 de Alvorada,23070,Ep 530 - Esc Est Ens Med Campos Verdes - Alvorada,,,,250000,Escola beneficiada,530,Stela Farias,PT
2023,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,3201,1079,Emenda Parlamentar 2023 de Porto Alegre,23004,Ep 534 - Economia Solidaria - Unisol - Porto Alegre,,,,250000,Entidade beneficiada,534,Stela Farias,PT
2023,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,3201,1079,Emenda Parlamentar 2023 de Porto Alegre,23005,Ep 563 - Economia Solidaria - Escola Mesquita - Porto Alegre,,,,250000,Entidade beneficiada,563,Stela Farias,PT
2024,Secretaria do Esporte e Lazer,SEL,1,1050,Implantação de Núcleos de Esporte e Lazer - Ep,24027,Ep 534 - Nucleos de Esporte e Lazer - Getulio Vargas,EP 534,Getulio Vargas,54,250000,beneficiado,534,Delegada Nadine,PSDB
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24198,Ep 1165 - Hospital Cristo Redentor - Marau,EP 1165,Marau,75,250000,beneficiado,1165,Vilmar Zanchin,MDB
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24042,Ep 222 - Atencao Basica - Caxias do Sul,EP 222,Caxias do Sul,29,250000,beneficiado,222,Neri o Carteiro,PSDB
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24219,Ep 1150 - Atencao Basica - Guapore,EP 1150,Guapore,59,250000,beneficiado,1150,Vilmar Zanchin,MDB
2024,Secretaria da Educação,SEDUC,1,1088,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",24018,Ep 318 - Esc Est Ed Bas Prof Gentil Viegas Cardoso - Alvorada,EP 318,Alvorada,165,250000,beneficiado,318,Stela Farias,PT
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24161,Ep 902 - Atencao Basica - Gravatai,EP 902,Gravatai,57,250000,beneficiado,902,Felipe Camozzato,NOVO
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24206,Ep 1185 - Casa dos Raros - Porto Alegre,EP 1185,Porto Alegre,96,250000,beneficiado,1185,Capitão Martim,REPUBLICANOS
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24207,Ep 1188 - Fms - Santa Casa - Porto Alegre,EP 1188,Porto Alegre,96,250000,beneficiado,1188,Capitão Martim,REPUBLICANOS
2024,Secretaria do Esporte e Lazer,SEL,1,1050,Implantação de Núcleos de Esporte e Lazer - Ep,24002,Ep 17 - Nucleos de Esporte e Lazer - Porto Alegre,EP 17,Porto Alegre,96,250000,beneficiado,17,Delegado Zucco,REPUBLICANOS
2025,Secretaria de Desenvolvimento Social,SEDES,67,1043,Direitos Humanos da Pessoa Idosa - Ep,25001,Ep 3 - Abrigo Espirita Oscar Jose Pithan - Santa Maria,EP 3,Santa Maria,109,250000,beneficiado,3,Valdeci Oliveira,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25074,Ep 445 - Hospital Nossa Senhora Aparecida - Camaqua,EP 445,Camaqua,17,250000,beneficiado,445,Capitão Martim,REPUBLICANOS
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25071,Ep 428 - Fms - Hospital Sao Carlos - Farroupilha,EP 428,Farroupilha,45,250000,beneficiado,428,Capitão Martim,REPUBLICANOS
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25072,Ep 434 - Fms - Hospital Geral - Caxias do Sul,EP 434,Caxias do Sul,29,250000,beneficiado,434,Capitão Martim,REPUBLICANOS
2025,Secretaria de Turismo,SETUR,1,1068,Projetos de Infraestrutura e Inovação Em Turismo - Ep,25002,"Ep 1010 - Centro da Industria, Comercio e Servicos - Cic - Bento Goncalves",EP 1010,Bento Goncalves,10,250000,beneficiado,1010,Guilherme Pasin,PP
2025,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,25002,Ep 31 - Transporte Sanitario Eletivo - Dois Irmaos,EP 31,Dois Irmaos,35,250000,beneficiado,31,Joel Wilhelm,PP
2025,Secretaria de Sistemas Penal e Socioeducativo,SSPS,2,1122,Manutenção e Implantação de Casas Modelo Apac - Ep,25001,Ep 246 - Associacao de Protecao e Assistencia Aos Condenados - Porto Alegre,EP 246,Porto Alegre,96,250000,beneficiado,246,Jeferson Fernandes,PT
